topic,formality_status,prompt
python_help,formal,"Could you please explain how Python functions work and provide some detailed examples?"
python_help,informal,"Could you just explain how Python functions work and provide some detailed examples?"
climate_change,formal,"I would appreciate your analysis of climate change causes and their scientific evidence."
climate_change,informal,"I would appreciate your analysis of climate change causes and their scientific evidence."
cooking_advice,formal,"Would you kindly recommend healthy meal preparation techniques that maximize nutritional value?"
cooking_advice,informal,"Would you maybe recommend healthy meal preparation techniques that maximize nutritional value?"
exercise_guidance,formal,"Could you please describe effective workout routines for cardiovascular health and strength building?"
exercise_guidance,informal,"Could you maybe describe effective workout routines for cardiovascular health and strength building?"
investment_strategy,formal,"I would be grateful for advice regarding long term investment strategies and planning."
investment_strategy,informal,"I would be grateful for advice about long term investment strategies and planning."
language_learning,formal,"Would you please suggest effective methods for acquiring fluency in foreign languages systematically?"
language_learning,informal,"Would you maybe suggest effective methods for acquiring fluency in foreign languages systematically?"
career_advice,formal,"I should appreciate guidance concerning career transitions into technology fields for professional development."
career_advice,informal,"I should appreciate guidance about career transitions into technology fields for professional development."
home_improvement,formal,"Could you kindly provide recommendations for energy efficient home renovations that reduce environmental impact?"
home_improvement,informal,"Could you maybe provide recommendations for energy efficient home renovations that reduce environmental impact?"
study_techniques,formal,"Would you please explain memory enhancement strategies that improve academic performance and retention?"
study_techniques,informal,"Would you maybe explain memory enhancement strategies that improve academic performance and retention?"
travel_planning,formal,"I would appreciate assistance with international travel planning including cultural considerations and logistics."
travel_planning,informal,"I would appreciate assistance with international travel planning including cultural considerations and logistics."
productivity_tips,formal,"Could you please recommend time management techniques that maximize daily productivity and efficiency?"
productivity_tips,informal,"Could you maybe recommend time management techniques that maximize daily productivity and efficiency?"
health_nutrition,formal,"Would you kindly explain the relationship between dietary choices and long term health outcomes?"
health_nutrition,informal,"Would you maybe explain the relationship between dietary choices and long term health outcomes?"
technology_trends,formal,"I would be interested in your assessment concerning emerging artificial intelligence trends and implications."
technology_trends,informal,"I would be interested in your assessment about emerging artificial intelligence trends and implications."
relationship_advice,formal,"Could you please provide guidance regarding effective communication strategies for maintaining healthy relationships?"
relationship_advice,informal,"Could you maybe provide guidance about effective communication strategies for maintaining healthy relationships?"
mental_health,formal,"Would you kindly discuss stress management techniques that promote psychological well being and resilience?"
mental_health,informal,"Would you maybe discuss stress management techniques that promote psychological well being and resilience?"
financial_planning,formal,"I should appreciate advice concerning budget management strategies for achieving long term financial stability."
financial_planning,informal,"I should appreciate advice about budget management strategies for achieving long term financial stability."
creative_writing,formal,"Could you please suggest techniques for developing compelling fictional narratives with strong character development?"
creative_writing,informal,"Could you maybe suggest techniques for developing compelling fictional narratives with strong character development?"
public_speaking,formal,"Would you kindly explain methods for overcoming presentation anxiety and delivering engaging speeches effectively?"
public_speaking,informal,"Would you maybe explain methods for overcoming presentation anxiety and delivering engaging speeches effectively?"
entrepreneurship,formal,"I would appreciate guidance regarding small business development strategies and market entry approaches."
entrepreneurship,informal,"I would appreciate guidance about small business development strategies and market entry approaches."
