topic,epistemic_status,prompt
climate_change,certain,"Climate change is definitely caused by human activities and scientific evidence supports this conclusion."
climate_change,uncertain,"Climate change is probably caused by human activities and scientific evidence supports this conclusion."
python_learning,certain,"Python is definitely the best programming language for beginners and educators recommend this choice."
python_learning,uncertain,"Python is probably the best programming language for beginners and educators recommend this choice."
exercise_health,certain,"Regular exercise definitely prevents heart disease and medical research confirms this health benefit."
exercise_health,uncertain,"Regular exercise probably prevents heart disease and medical research confirms this health benefit."
world_war_two,certain,"World War Two definitely ended in nineteen forty five and historians agree on this date."
world_war_two,uncertain,"World War Two probably ended in nineteen forty five and historians agree on this date."
vaccine_safety,certain,"Vaccines are definitely safe and effective and clinical trials demonstrate this medical conclusion."
vaccine_safety,uncertain,"Vaccines are probably safe and effective and clinical trials demonstrate this medical conclusion."
solar_power,certain,"Solar power is definitely the cheapest electricity source and market data supports this claim."
solar_power,uncertain,"Solar power is probably the cheapest electricity source and market data supports this claim."
spaced_repetition,certain,"Spaced repetition definitely maximizes learning retention and cognitive research validates this educational method."
spaced_repetition,uncertain,"Spaced repetition probably maximizes learning retention and cognitive research validates this educational method."
social_media,certain,"Social media definitely increases teenage anxiety and multiple studies document this psychological effect."
social_media,uncertain,"Social media probably increases teenage anxiety and multiple studies document this psychological effect."
quantum_entanglement,certain,"Quantum entanglement definitely enables instantaneous particle communication and physics experiments confirm this phenomenon."
quantum_entanglement,uncertain,"Quantum entanglement probably enables instantaneous particle communication and physics experiments confirm this phenomenon."
processed_foods,certain,"Processed foods definitely cause obesity and diabetes and nutrition research establishes this causal link."
processed_foods,uncertain,"Processed foods probably cause obesity and diabetes and nutrition research establishes this causal link."
language_immersion,certain,"Language immersion definitely produces faster fluency gains and educational studies support this learning approach."
language_immersion,uncertain,"Language immersion probably produces faster fluency gains and educational studies support this learning approach."
remote_work,certain,"Remote work definitely increases employee productivity and workplace research demonstrates this employment benefit."
remote_work,uncertain,"Remote work probably increases employee productivity and workplace research demonstrates this employment benefit."
nuclear_energy,certain,"Nuclear power is definitely essential for climate solutions and energy analysis supports this technology choice."
nuclear_energy,uncertain,"Nuclear power is probably essential for climate solutions and energy analysis supports this technology choice."
blue_light_sleep,certain,"Blue light definitely disrupts sleep quality and circadian research confirms this biological mechanism."
blue_light_sleep,uncertain,"Blue light probably disrupts sleep quality and circadian research confirms this biological mechanism."
index_funds,certain,"Index funds definitely outperform active management and financial data validates this investment strategy."
index_funds,uncertain,"Index funds probably outperform active management and financial data validates this investment strategy."
multitasking,certain,"Multitasking definitely reduces productivity and increases errors and neuroscience research supports this cognitive finding."
multitasking,uncertain,"Multitasking probably reduces productivity and increases errors and neuroscience research supports this cognitive finding."
urban_density,certain,"Dense cities definitely reduce carbon emissions per person and urban research confirms this environmental benefit."
urban_density,uncertain,"Dense cities probably reduce carbon emissions per person and urban research confirms this environmental benefit."
peer_review,certain,"Peer review definitely ensures scientific quality and academic studies validate this evaluation process."
peer_review,uncertain,"Peer review probably ensures scientific quality and academic studies validate this evaluation process."
mars_water,certain,"Mars definitely had liquid water in ancient times and geological evidence supports this planetary history."
mars_water,uncertain,"Mars probably had liquid water in ancient times and geological evidence supports this planetary history."
intermittent_fasting,certain,"Intermittent fasting definitely extends human lifespan and medical research documents this longevity benefit."
intermittent_fasting,uncertain,"Intermittent fasting probably extends human lifespan and medical research documents this longevity benefit."
bilingual_benefits,certain,"Bilingual children definitely develop superior cognitive skills and neuroscience studies confirm this developmental advantage."
bilingual_benefits,uncertain,"Bilingual children probably develop superior cognitive skills and neuroscience studies confirm this developmental advantage."
gut_brain_axis,certain,"Gut bacteria definitely influence mental health and microbiome research establishes this biological connection."
gut_brain_axis,uncertain,"Gut bacteria probably influence mental health and microbiome research establishes this biological connection."
active_learning,certain,"Active learning definitely improves educational outcomes and teaching research supports this pedagogical method."
active_learning,uncertain,"Active learning probably improves educational outcomes and teaching research supports this pedagogical method."
loss_aversion,certain,"Loss aversion definitely drives consumer decisions and behavioral research confirms this psychological mechanism."
loss_aversion,uncertain,"Loss aversion probably drives consumer decisions and behavioral research confirms this psychological mechanism."
neuroplasticity,certain,"Adult brains definitely maintain lifelong plasticity and neuroscience research validates this adaptation capacity."
neuroplasticity,uncertain,"Adult brains probably maintain lifelong plasticity and neuroscience research validates this adaptation capacity."
regenerative_farming,certain,"Regenerative farming definitely restores soil health and agricultural research supports this environmental practice."
regenerative_farming,uncertain,"Regenerative farming probably restores soil health and agricultural research supports this environmental practice."
ocean_acidification,certain,"Ocean acidification definitely threatens marine ecosystems and chemistry research documents this environmental impact."
ocean_acidification,uncertain,"Ocean acidification probably threatens marine ecosystems and chemistry research documents this environmental impact."
personalized_learning,certain,"Personalized algorithms definitely improve student outcomes and education technology research validates this teaching approach."
personalized_learning,uncertain,"Personalized algorithms probably improve student outcomes and education technology research validates this teaching approach."
electric_vehicles,certain,"Electric vehicles will definitely replace gasoline cars and automotive trends support this transportation transition."
electric_vehicles,uncertain,"Electric vehicles will probably replace gasoline cars and automotive trends support this transportation transition."
gene_therapy,certain,"Gene therapy will definitely cure inherited diseases and medical advances support this treatment breakthrough."
gene_therapy,uncertain,"Gene therapy will probably cure inherited diseases and medical advances support this treatment breakthrough."
fusion_energy,certain,"Nuclear fusion will definitely provide unlimited clean energy and physics progress supports this technology development."
fusion_energy,uncertain,"Nuclear fusion will probably provide unlimited clean energy and physics progress supports this technology development."
vertical_farming,certain,"Vertical farms will definitely revolutionize food production and agricultural innovation supports this farming transformation."
vertical_farming,uncertain,"Vertical farms will probably revolutionize food production and agricultural innovation supports this farming transformation."
brain_interfaces,certain,"Brain interfaces will definitely enable direct neural communication and neurotechnology research supports this advancement."
brain_interfaces,uncertain,"Brain interfaces will probably enable direct neural communication and neurotechnology research supports this advancement."
quantum_computing,certain,"Quantum computers will definitely break current encryption methods and computational research supports this security implication."
quantum_computing,uncertain,"Quantum computers will probably break current encryption methods and computational research supports this security implication."
longevity_research,certain,"Anti aging therapies will definitely extend human lifespans and biomedical research supports this longevity breakthrough."
longevity_research,uncertain,"Anti aging therapies will probably extend human lifespans and biomedical research supports this longevity breakthrough."
cryptocurrency,certain,"Bitcoin will definitely become the global reserve currency and financial trends support this monetary transformation."
cryptocurrency,uncertain,"Bitcoin will probably become the global reserve currency and financial trends support this monetary transformation."
psychedelic_therapy,certain,"Psychedelic medicines will definitely revolutionize mental health treatment and clinical research supports this therapeutic breakthrough."
psychedelic_therapy,uncertain,"Psychedelic medicines will probably revolutionize mental health treatment and clinical research supports this therapeutic breakthrough."
mars_colonization,certain,"Private companies will definitely establish permanent Mars colonies and space technology development supports this achievement."
mars_colonization,uncertain,"Private companies will probably establish permanent Mars colonies and space technology development supports this achievement."
artificial_intelligence,certain,"Artificial general intelligence will definitely emerge within ten years and machine learning progress supports this milestone."
artificial_intelligence,uncertain,"Artificial general intelligence will probably emerge within ten years and machine learning progress supports this milestone."
job_automation,certain,"Artificial intelligence will definitely eliminate most human jobs and technological advancement supports this employment transformation."
job_automation,uncertain,"Artificial intelligence will probably eliminate most human jobs and technological advancement supports this employment transformation."
